brand,perfume,launch_year,main_accords,notes
Fragonard,Frivole,2012,"citrus, floral, patchouli, white floral, green","jasmine, lily-of-the-valley, peony, iris, patchouli, lemon, mandarin orange, tangerine, bergamot"
Cuarzo The Circle,Sea Gold,0,"citrus, vanilla, fruity, sweet, patchouli, fresh","magnolia, jasmine, lily-of-the-valley, patchouli, vetiver, vanilla, red berries, grapefruit, orange"
Maitre Parfumeur et Gantier,Tubereuse,1988,"white floral, tuberose, musky, animalic, green","jasmine, musk, amber, rose, tuberose, green notes"
Guy Bouchara,Star of India,0,"floral, powdery, woody, fresh spicy, rose","mimosa, violet, lily-of-the-valley, may rose, iris, cedar, sandalwood, heliotrope, amber, bergamot, geranium, hawthorn, hyacinth"
Dolce Gabbana,D G Anthology L Amoureux 6,2009,"woody, aromatic, fresh spicy, citrus, musky","birch, cardamom, orris root, woodsy notes, musk, bergamot, pink pepper, juniper berries"
Tokyo Milk Parfumarie Curiosite,Tomorrow No 68,2012,"marine, salty, woody, aromatic, earthy","sea salt, sea water, moss, cypress"
Arno Sorel,Mafia Cash,0,"floral, powdery, woody, aromatic, fresh spicy","violet, lavender, spicy notes, cedar, musk"
Ephemera by Unsound,Noise,2015,"fresh spicy, aldehydic, amber, warm spicy, balsamic, soapy","aldehydes, black pepper, saffron, labdanum"
Illuminum,Orange Blossom,0,"citrus, aromatic, white floral, fresh spicy, herbal, balsamic","red thyme, agarwood (oud), myrrh, olibanum, neroli, petitgrain"
Elizabeth and James,Nirvana White,2013,"floral, musky, fresh, rose, green","peony, musk, lily-of-the-valley"
Alta Moda,Black Cash,0,"aromatic, woody, fresh spicy, green, citrus","juniper, coriander, cinnamon, angelica, wormwood, carnation, jasmine, oakmoss, balsam fir, patchouli, vetiver, cedar, musk, leather, sandalwood, amber, pine needles, resins, basil, rosemary, mint, lavender, pineapple, artemisia, lemon verbena, bergamot, lemon"
Ulric de Varens,Pink Rock,0,"fruity, floral, rose, sweet, citrus, white floral","jasmine, rose, lotus, patchouli, jasmine, raspberry, black currant, bergamot"
Police,Eyes Feminine,2004,"woody, floral, citrus, powdery, fruity","iris, jasmine, lily-of-the-valley, melon, cedar, sandalwood, amber, musk, bergamot, orange, pink pepper, black currant, pineapple"
Olivina Napa Valley,Marrakech Nomad,2014,"warm spicy, balsamic, fresh spicy, smoky, aromatic","incense, cardamom, black pepper"
Givenchy,Play in the City for Him,2013,"woody, citrus, powdery, sweet, amber, soft spicy","amyris, iris, amber, woody notes, citruses, licorice"
Tonino Lamborghini,Intenso,2010,"balsamic, leather, aromatic, amber, animalic","virginia cedar, leather, amber, benzoin, tonka bean, bergamot, granny smith apple, green notes"
Giorgio Armani,Armani Prive Iris Celadon,2017,"warm spicy, musky, powdery, cacao, patchouli","iris, chocolate, mate, patchouli, musk, ambrette (musk mallow), bergamot, aldehydes, cardamom, iris"
Diesel,Only The Brave Music Animation,2010,"balsamic, citrus, amber, woody, powdery, aromatic","virginia cedar, coriander, violet, french labdanum, amber, styrax, benzoin, leather, amalfi lemon, mandarin orange"
Austin Reed,Austin Reed Men,2002,"aromatic, citrus, fresh spicy, woody, green","lavender, jasmine, geranium, lily, vetiver, musk, patchouli, oak moss, amber, vanille, angelica, galbanum, bergamot, lime"
Jean Pierre Sand,Waage,0,"citrus, woody, vanilla, aromatic, white floral, rose","rose, jasmine, vetiver, vanilla, orange, bergamot"
Herve Gambs Paris,Bois Dahman,2015,"balsamic, smoky, warm spicy, leather, woody","sandalwood, birch, saffron, incense, vanilla, amber"
Xyrena,Dark Ride,2015,"aquatic, fresh, watery","water notes, ozonic notes"
Indigo Wild,Zum Mist Eucalyptus,0,"woody, camphor, aromatic, fresh spicy",eucalyptus
Bettina Barty,Summer Vanilla,0,"powdery, vanilla, floral, sweet, soft spicy, woody","floral notes, powdery notes, vanilla"
Halston,Woman Amber,2010,"balsamic, amber, musky, smoky, woody","tuberose, amber, rose, musk, sandalwood, olibanum, suede, mandarin orange, red currant, aldehydes"
Caron,Or et Noir,1949,"rose, fresh spicy, aromatic, floral, woody","rose, lily, carnation, oakmoss, woody notes, amber, bulgarian rose, taif rose, geranium"
Murdock London,Vetiver,2011,"woody, earthy, citrus, fresh, fresh spicy","null, woody notes, oakmoss, citruses"
Dolce Gabbana,Velvet Patchouli,2011,"patchouli, warm spicy, earthy, amber, balsamic","patchouli, kephalis"
Tom Ford,White Musk Collection Jasmine Musk,2009,"white floral, woody, musky, powdery, yellow floral","ylang-ylang, jasmine, patchouli, orris root, vanilla, sandalwood, vetiver, french labdanum, amber, musk"
Michel Germain,Deauville French Spa,2010,nan,nan
Atkinsons,Oud Save The King,2013,"powdery, oud, woody, leather, green, musky","suede, orris, agarwood (oud), sandalwood, earl grey tea, bergamot"
Crusellas Company,Kolonia 1800,0,"citrus, fresh spicy, fresh, aromatic, green","citruses, orange, lemon, bergamot"
Nikkos Oskol Fragrance,Fragrance 21,2012,"aromatic, fresh spicy, green, woody, herbal","mint, eucalyptus, thyme, cypress, lemon verbena, rosemary"
Chevignon,Forever Mine Into The Legend for Men,2010,"cinnamon, warm spicy, leather, amber, animalic","virginia cedar, amber, cinnamon, woodsy notes, leather, musk, patchouli, bergamot, mandarin orange"
Esprit,Imagine for Him,2010,"woody, aromatic, citrus, powdery, floral, fresh spicy","geranium, violet, vetyver, amalfi lemon, bitter orange"
Maison Incens,Musc Kalirii,2014,"white floral, woody, citrus, powdery, leather, balsamic","orange blossom, rose, jasmine, leather, vanilla, sandalwood, bergamot, orange"
Emper,Fasio,0,"floral, fruity, rose, sweet, vanilla","rose, violet, peony, lily-of-the-valley, vanilla, musk, pink grapefruit, black currant, raspberry, wild strawberry"
The Party,The Garden Party Tuberose,0,"floral, powdery, balsamic, citrus, warm spicy, tuberose","tuberose, cyclamen, violet, lily-of-the-valley, tolu balsam, musk, oak moss, incense, heliotrope, patchouli, bergamot, cinnamon"
Guy Bouchara,East Man,0,"woody, aromatic, fresh spicy, green, floral, citrus","jasmine, rose, carnation, iris, oakmoss, vetiver, musk, lemon, petitgrain, rosemary, basil"
Naseem,Amaal,0,"white floral, musky, patchouli, fruity, yellow floral, fresh","apple, lemon zest, patchouli, iris, musk, lily, jasmine, ylang-ylang"
Arabesque Perfumes,Layla,0,"fruity, white floral, floral, tuberose, animalic","citruses, tuberose, narcissus, tobacco, amber, white musk, jasmine, osmanthus, apricot, rose de mai"
Quintessence,Caliente,1992,nan,nan
Sue Devitt,Golden Temple Effusion,0,"fruity, woody, white floral, sweet, fresh","woodsy notes, lily, red berries"
Lolita Lempicka,Lolita Lempicka Eau de Toilette,1997,"powdery, floral, woody, musky, cherry","iris, jasmine sambac, musk, incense, violet, apricot, cherry, lemon"
Bourbon French Parfums,Rum Royale,0,"warm spicy, rum, sweet, woody","rum, spicy notes"
La Sultane de Saba,Voyage sur la route de Malaisie,2014,"yellow floral, floral, sweet","champaca, oriental flower notes"
Express,Express Glam,2012,"woody, sweet, musky, fruity, vodka, floral","jasmine, lily-of-the-valley, praline, musk, white woods, black currant, vodka"
Juicy Jewel,Secret Mode,2008,"floral, fruity, sweet, powdery, tropical, woody","violet, lily-of-the-valley, jasmine, lotus, caramel, musk, amber, sandalwood, big strawberry, pineapple, tropical fruit, black tea"
Michel Germain,Deauville pour Homme,0,"fresh spicy, aromatic, floral, woody, tobacco","nutmeg, pepper, oak moss, amber, tobacco, orris root, lavender, sage, clementine"
Panama 1924,Women of Panama,2015,nan,nan
Marks and Spencer,Orchid and Vanilla,0,"vanilla, almond, sweet, musky, floral","vanilla, orchid, almond, white musk"
S Cute,Les poup es Love Kyoto KOYUKI,2009,"white floral, woody, citrus, rose, fruity, fresh","rose, jasmine, cyclamen, musk, sandalwood, virginia cedar, green apple, orange"
Christina Aguilera,Unforgettable,2013,"sweet, vanilla, woody, fruity, aromatic","jasmine, turkish rose, tonka bean, vanilla, cashmeran, pomegranate, plum"
Milton Lloyd,Tweed,0,"fresh spicy, aromatic, floral, herbal, woody","lavender, geranium, jasmine, honey, rose, violet, beeswax, sandalwood, patchouli, amber, cacao, musk, cedar, lemon, lime, basil"
Accendis,Accendis 0 2,2015,"balsamic, woody, amber, fresh spicy, oud","guaiac wood, cedar, labdanum, agarwood (oud), peru balsam, black pepper"
Bourjois,Clin d Oeil Excentric,2001,"fresh, floral, musky, citrus, sweet","toffee, peony, syringa, musk, grapefruit, citruses, ginger"
Compagnia Delle Indie,Corallo dell atollo di Ari,2012,"fruity, woody, sweet, sour","woodsy notes, fruity notes"
Olivier Strelli,The World Is Wonderful,2007,"fruity, sweet, citrus, floral, powdery","grapes, peach, jasmine, camellia, brown sugar, cedar, musk, lemon, bergamot, green apple"
Banana Republic,Republic of Men Essence,2012,"woody, fresh spicy, green, fruity, fresh, sweet","basil, rosemary, sage, pepper, musk, sandalwood, hazelnut, cedar, cucumber, black currant, plum, fig leaf"
Acqua Reale,Cedre Royal,2012,"woody, citrus, aromatic, leather, earthy","himalayan cedar, patchouli, vetiver, birch, vanila, amber, musk, pink pepper, bergamot, citruses, florida grapefruit"
Fruits Passion,Mango Escape,0,"fruity, sweet, tropical, sour, woody","mango, fruity notes"
Diane von Furstenberg,Diane Eau de Toilette,2011,"musky, balsamic, patchouli, powdery, smoky, white floral","musk, patchouli, myrhh, violet, frangipani"
Yves Rocher,Temps Frais,0,"woody, aromatic, fresh spicy, herbal, citrus","artemisia, cypress, eucalyptus, rosemary, citruses"
Braccialini,Braccialini Fashion,2016,"citrus, woody, powdery, rose, floral","rose petals, iris, woodsy notes, citruses, bergamot, pear"
Avon,Tasha,1979,"aldehydic, woody, rose, floral, balsamic","rose, jasmine, sandalwood, cedar, amber, musk, aldehydes, hyacinth"
Chlorophylla,Cristal,2016,"musky, aromatic, fresh spicy, warm spicy, citrus","lavender, spices, musk, citruses"
David Victoria Beckham,Pure Instinct,2009,"aromatic, fresh spicy, tobacco, citrus, woody, sweet","sage, rosemary, lavender, tobacco, oakmoss, virginia cedar, citruses, grapefruit, pepper, cardamom"
Issey Miyake,A Scent Soleil de Neroli,2011,"white floral, floral, green, fresh spicy, citrus","jasmine, gardenia, hyacinth, musk, neroli, tiare flower"
Benetton,United Colors of Benetton Unisex,2006,"citrus, woody, fresh spicy, floral, fresh","bamboo, cotton flower, guaiac wood, white musk, neroli, bergamot"
Biosea,Elixir,0,"citrus, white floral, aromatic, woody, fresh spicy, musky","citruses, orange blossom, almond blossom, white musk, cypress, red cedar"
Guerlain,L Homme Ideal Cologne,2015,"citrus, almond, fresh spicy, woody, aromatic","almond, neroli, vetiver, white musk, orange, bergamot, grapefruit, pink pepper"
Montana,Montana Homme,2001,"citrus, woody, fresh spicy, herbal, aromatic","nutmeg, iris, pepper, cedar, geranium, sandalwood, amber, patchouli, musk, oakmoss, artemisia, mandarin orange, bergamot, bitter orange, lemon"
Grasse Au Parfum,No 11 Sportif,0,"citrus, woody, green, aromatic, white floral","mint, jasmine, cedar, sandalwood, grapefruit, lemon"
Fred Hayman,273 Red,2004,"woody, fruity, amber, sour, aromatic, earthy","wild berries, red berries, amber, oak, vetiver, lemon"
Ed Pinaud,La Proven ale,0,"aromatic, fresh spicy, woody, herbal, vanilla, warm spicy","lavender, thyme, laurels, cloves, white cedar extract, vanilla, vetiver, fir"
Guerlain,Bois d Armenie,2006,"balsamic, warm spicy, woody, smoky, powdery","coriander, benzoin, guaiac wood, patchouli, white musk, copahu balm, iris, pink pepper, incense"
The Scent of Departure,Dubai DXB,2012,"citrus, fresh spicy, oud, herbal, balsamic, musky","rose, jasmine, violet, agarwood (oud), musk, incense, patchouli, bergamot, orange, thyme"
Le Prince Jardinier,Citrus Allegro,0,"citrus, green, fresh spicy, white floral, fresh","jasmine, lily-of-the-valley, ambergris, moss, musk, petitgrain, lemon, grapefruit, basil"
Demeter Fragrance,Patchouli,0,"patchouli, warm spicy, earthy, balsamic, woody",patchouli
Mancera,Amber Roses,2014,"rose, amber, musky, balsamic, animalic","rose, indian jasmine, labdanum, amber, white musk, sicilian lemon"
Azzaro,Azzaro Pour Homme Limited Edition 2015,2015,"fresh spicy, soft spicy, aromatic, woody, citrus","patchouli, vetiver, sandalwood, cardamom, oakmoss, amber, musk, leather, ginger, orange, lavender, basil, star anise, fennel"
Dans un Jardin,Mah e le Homme,0,"aromatic, fresh spicy, white floral, citrus, woody","lavender, rosemary, lily, rose, jasmine, cashmere musk, patchouli, oakmoss, amber, musk, bergamot, petitgrain, violet leaf"
En Voyage Perfumes,Havane pour Homme,0,"green, aromatic, woody, sweet, citrus, fresh spicy","petitgrain, tea, violet, fir, virginia cedar, tonka bean, vanille, tobacco, leather, rum, bergamot, lime, mint"
Jean Pierre Sand,Time Controle Gold,0,"warm spicy, citrus, green, patchouli, rose, amber","rose, cinnamon, spicy notes, leather, patchouli, woody notes, amber, blood mandarin, grapefruit, mint"
Santa Maria Novella,Ginestra Broom,2001,"yellow floral, floral, woody, sweet, powdery","african orange flower, narcissus, violet, orchid, birch, oak moss, resin, dyer\u2019s greenweed"
La Prairie,Life Threads Ruby,2010,"woody, white floral, warm spicy, yellow floral, sweet","jasmine, ylang-ylang, rose, saffron, vetyver, musk, sandalwood, vanille, african orange flower, bergamot, lily"
Issey Miyake,Lune d Issey,2001,"floral, rose, fruity, musky, fresh, powdery","osmanthus, peony, musk, heliotrope, rose, mimosa, star anise"
Victoria s Secret,Wild One,2011,"sweet, white floral, fruity, soft spicy, animalic, woody","lily, raspberry"
Nina Ricci,Signoricci 2,1976,"citrus, green, aldehydic, aromatic, fresh spicy","jasmine, carnation, mandarin orange, aldehydes, oakmoss, white musk, tonka bean, amber, basil, lemon, lime, petitgrain"
Fleurage,Imp Botanical Parfum,0,"citrus, green, fresh spicy, woody, fresh","green notes, herbal notes, woody notes, citruses, lemon, pepper"
Yves de Sistelle,Malena Dream,0,"sweet, fruity, powdery, woody, vanilla","jasmine, orange blossom, water lily, vanilla, sandalwood, patchouli, white musk, mandarin orange, raspberry, white peach"
Yves Saint Laurent,Paris Roses Enchantees,2005,"floral, powdery, rose, woody, white floral","lilac, apricot, lily-of-the-valley, sandalwood, white musk, orange blossom, violet, rose"
Juliette Has A Gun,Not A Perfume,2010,"amber, musky",ambroxan
Ted Lapidus,Blueted,2004,"woody, citrus, balsamic, aromatic, floral, fresh","cyclamen, patchouli, jasmine, sandalwood, amber, white musk, brazilian rosewood, pine tree, kumquat"
Les Nereides,Vert d Eau,0,"green, floral, ozonic, aquatic, fresh, honey","watermelon, cyclamen, green notes, honey, melon"
Gandini 1896,Lime and Basil,2010,"citrus, fresh spicy, green, aromatic, woody, herbal","thyme, iris, lilac, basil, vetiver, patchouli, bergamot, lime, tangerine"
Parfumerie Generale,Coze Verde,2012,"woody, sweet, warm spicy, green, patchouli","lime, fig tree, spicy notes, licorice, cacao pod, amyl salicylate, patchouli, woody notes"
Hermes,Caleche Soie de Parfum,1992,"woody, citrus, aldehydic, floral, powdery","may rose, damask rose, orange blossom, iris, jasmine, lily-of-the-valley, sandalwood, vetiver, cedar, oakmoss, aldehydes, bergamot, citron, neroli"
Natura,Cedro,2010,"fresh spicy, woody, warm spicy, citrus, patchouli","nutmeg, black pepper, patchouli, tonka bean, cedar, cardamom, bergamot, cinnamon, citruses"
Paul Smith,Paul Smith Sunshine Edition for Women 2013,2013,"citrus, floral, rose, fresh, white floral","jasmine, peony, rose, white musk, woody notes, bergamot, pink grapefruit"
Jardin d Amour,Cedre Genievre,2013,"woody, aromatic, fresh spicy, fresh, powdery, balsamic","cedar, juniper"
Fiorucci,Nuit Rose,2015,"floral, rose, fruity, woody, sweet","freesia, peach blossom, rose, woody notes, raspberry, musk, champagne, pink pepper, litchi"
Boucheron,B,2008,"woody, warm spicy, fruity, floral, powdery","cedar, sandalwood, patchouli, osmanthus, rose, orange blossom, apricot, spices"
Dragon Parfums,Dragon Marron,0,"citrus, tobacco, fresh spicy, woody, sweet","mandarin orange, lemon, nutmeg, tobacco, cedar"
Est e Lauder,Pleasures Sandalwood Amber Splash,2009,"woody, citrus, balsamic, fresh spicy, powdery, amber","orange, karo karounde, pepper, sandalwood, amber, leather, amalfi lemon"
Annayake,Tomo Fresh,2012,"citrus, woody, aromatic, amber, fresh spicy","sunflower, lavender, woody notes, white musk, guaiac wood, teak wood, vanilla, amber, incense, spices, grapefruit, lemon, orange"
Popy Moreni,Le Cirque de Popy Moreni,2000,"floral, white floral, rose, citrus, fresh, musky","honeysuckle, rose, frangipani, peony, musk, sandalwood, amber, vanille, grapefruit, mandarin orange, freesia, water hyacinth"
Hugo Boss,Boss Bottled Intense,2015,"warm spicy, woody, vanilla, cinnamon, fruity, powdery","geranium, cinnamon, cloves, lavender, cardamom, sandalwood, cedar, vetiver, vanilla, coumarin, apple, orange blossom, bergamot"
Revlon,Charlie Black,2009,"almond, sweet, fruity, cherry, musky, citrus","almond, caramel, musk, amber, vanille, coumarin, heliotrope, mandarin orange, cherry, litchi"
Strange Invisible Perfumes,Aries,2012,"balsamic, musky, warm spicy, amber, aromatic, woody","lavender, musk, sandalwood, patchouli, angelica, amber, cinnamon, lime, olibanum, rose"
Scent by Alexis,White Magick,2007,"floral, sweet, soft spicy, vanilla, white floral","gardenia, orchid, lime (linden) blossom, vanilla, anise"
Faberlic,Charmante,2015,"rose, fruity, citrus, woody, white floral","rose, raspberry, jasmine, musk, cedar, amber, orange, mandarin leaf, black currant, pitahaya, pear"
Parfums 137,Bigarade,2013,"citrus, white floral, powdery, woody, green","peach, jasmine, violet, guaiac wood, vetiver, musk, sweet orange, italian lemon"
Ajmal,Haem,2015,"woody, floral, amber, musky, citrus","flowers, amber, woodsy notes, musk, citruses"
Lolita Lempicka,Illusions Noires Si Lolita Eau de Minuit,2012,"white floral, amber, sweet, patchouli, vanilla","sweet pea, heliotrope, patchouli, amber, vanilla absolute, mandarin orange, pink pepper"
Tuttotondo,Mirto,2016,"aromatic, fresh spicy, woody, herbal, balsamic, musky","geranium, sage, vetiver, woody notes, amber, olibanum, white musk, bergamot, nutmeg, myrtle"
Ayala Moriel,Viola,0,"powdery, ozonic, woody, vanilla, floral, aquatic","ylang-ylang, tonka bean, vanille, orris root, tincture of rose, violet leaf"
La Via del Profumo,Attar Maulana,0,"leather, white floral, animalic, smoky, tuberose, rose","rose, jasmine, tuberose, castoreum, styrax, leather, vanilla"
Abercrombie Fitch,Fierce Icon,2015,"fresh spicy, citrus, aromatic, floral, green, powdery","black pepper, bergamot, leatherwood"
Revlon,Pink Happiness Delicate Moments,0,"sweet, white floral, woody, cacao, powdery, warm spicy","jasmine, freesia, lily, cotton candy, musk, sandalwood, patchouli, vanille, mexican chocolate, bamboo, bergamot, tea, red berries"
Cale Fragranze d Autore,Brezza di Seta,2008,"floral, aromatic, woody, powdery, aquatic","water lily, rose, magnolia, iris, vetyver, patchouli, tonka bean, vanilla, lavender, neroli, violet leaf, black currant"
Stacked Style,Fuji Flower,0,"white floral, fruity, citrus, tropical, woody","jasmine, peach blossom, sandalwood, star apple, kumquat"
Olivier Durbano,Heliotrope,2012,"balsamic, warm spicy, smoky, woody, amber, floral","saffron, magnolia, cypriol oil or nagarmotha, heliotrope, myrrh, cedar, sandalwood, musk, ambergris, benzoin, elemi, olibanum, ginger, blood mandarin, angelica, chili pepper"
Frapin,1270,2010,"sweet, fruity, woody, warm spicy, balsamic, honey","lime (linden) blossom, spices, flowers, hazelnut, dried fruits, woodsy notes, guaiac wood, white honey, vanilla, orange, resin, cacao, coffee, tonka bean, pineapple, dried plum"
L T Piver,Gao,1925,nan,nan
Diptyque,Eau Duelle,2010,"vanilla, aromatic, balsamic, warm spicy, fresh spicy","cardamom, elemi resin, olibanum, bergamot, pink pepper, juniper, saffron, black tea, musk, ambergris, bourbon vanilla"
Maison Martin Margiela,Tea Escape,2014,"green, fresh, fresh spicy, ozonic, milky, white floral","green tea, jasmine, osmanthus, rice, mate, milk, bergamot, pink pepper, mint"
L Artisan Parfumeur,Natura Fabularis 26 Tenebrae,2016,"woody, balsamic, fresh spicy, aromatic, smoky","fir, woody notes, earthy notes, olibanum"
Ajmal,Ghair 2,0,"woody, musky, warm spicy, powdery, balsamic","spicy notes, musk, cedar, sandalwood, musk, sandalwood, ambergris, mandarin orange, cedar"
Fragrance Du Bois,Oud Noir Intense,2013,"warm spicy, musky, oud, patchouli, balsamic, citrus","rose, jasmine, sandalwood, saffron, patchouli, vanilla, musk, amber, agarwood (oud), bergamot, cardamom"
Victoria s Secret,Wild Pink,2014,"tropical, powdery, fruity, sweet, floral, fresh","passionfruit, violet, musk"
Christian Dior,Diorissimo,1956,"floral, green, white floral, fresh, soapy, animalic","rosemary, lily, lilac, jasmine, boronia, amaryllis, ylang-ylang, lily-of-the-valley, sandalwood, civet, green leaves, bergamot"
Jacadi,Jacadi Fille,0,"woody, sweet, fruity, powdery, citrus","violet, fig, caramel, lime"
Natori,Natori Eau de Toilette,2011,"rose, floral, sweet, musky, yellow floral, patchouli","jasmine, ylang-ylang, peony, musk, patchouli, amber, rose, plum"
Boucheron,Boucheron Quatre Pour Homme,2015,"woody, citrus, white floral, ozonic, musky","jasmine sambac, rose, cedar, cashmere wood, musk, lemon, lime, violet leaf"
TerraNova,Gardenia,0,"white floral, animalic, floral",gardenia
La Perla,Divina Gold Edition,2012,"sweet, caramel, white floral, floral, fruity, amber","exotic floral notes, wild strawberry, caramel, amber, champagne, orange blossom"
Christian Dior,Eau Sauvage Cologne,2015,"citrus, green, aromatic, fresh spicy, woody","petitgrain, hedione, galbanum, pink pepper, vetiver, calabrian bergamot, mandarin orange, grapefruit"
Coty,Desperate Housewives Forbidden Fruit,2006,"white floral, fruity, woody, sweet, fresh, powdery","lily, wisteria, jasmine, ylang-ylang, sandalwood, tonka bean, vanilla, cedar, orange blossom, peach, apple"
Rebel Mercury,Royal Couple,0,"woody, citrus, rose, oud, white floral","rose, bulgarian rose, jasmine, cognac, agarwood (oud), sandalwood, white grapefruit"
Shulton Company,Old Spice Lime,1966,"citrus, warm spicy, balsamic, conifer, floral, woody","lime, floral notes, spicy notes, resins, woody notes"
Diptyque,pon,2001,"warm spicy, rose, leather, tobacco, floral, woody","turkish rose, saffron, spices, guaiac wood, cumin"
Floris,Cefiro,2001,"citrus, fresh spicy, aromatic, woody, musky","cardamom, jasmine, nutmeg, virginia cedar, musk, sandalwood, bergamot, amalfi lemon, lime, mandarin orange, orange"
Gucci,Guilty Pour Homme,2011,"citrus, aromatic, white floral, fresh spicy, floral, woody","african orange flower, patchouli, virginia cedar, vanilla, lavender, amalfi lemon"
I Smell Great,Candy Crush,2014,"sweet, floral, rose, vanilla, fruity","rose, flower petals, sugar, sweet notes"
Detaille,Sofia,0,"vanilla, patchouli, white floral, aromatic, earthy, floral","jasmine, heliotrope, patchouli, vanille, cassis, tamarind"
Pecksniff s,Petal,2010,"floral, woody, rose, ozonic, aquatic, balsamic","rose, geranium, jasmine, iris, sandalwood, cedar, tonka bean, musk, patchouli, melon, apple, coriander, freesia, violet leaf"
Victoria s Secret,Victoria s Secret Paris,2016,"woody, aromatic, earthy, floral, fresh spicy","cypress, night blooming jasmine, white cedar extract, oakmoss"
Esscentual Alchemy,For the Love of Bees Botanical Perfume,2010,"herbal, green, beeswax, sweet, fruity, yellow floral","beeswax, vanille, black currant, hay, ylang-ylang, honeysuckle, chamomile, broom, carrot seeds"
Hilde Soliani,Conaffetto,2010,"sweet, almond, white floral, nutty, fruity","african orange flower, almond, sugar"
John Varvatos,Vintage,2006,"aromatic, fresh spicy, sweet, woody, tobacco","juniper berries, lavender, cinnamon, jasmine, orris root, green leaves, tonka bean, tobacco, suede, patchouli, oakmoss, balsam fir, woody notes, wormwood, basil, rhubarb, quince, fennel, pepper"
O Driu,Ven,2015,"sweet, woody, fresh spicy, cherry, aromatic, balsamic","cherry, rum, pineapple, rose geranium, cumin, ylang-ylang, tonka bean, castoreum, vanilla, sandalwood"
Parfums Codibel,Magic Black Man,0,nan,nan
Parfum Bar,New York Mod 1,0,"aromatic, fresh spicy, herbal, musky, cinnamon, woody","coriander, black pepper, cinnamon, cedar, tonka bean, musk, lemon, lavender, sage"
Bond No 9,I Love New York Earth Day,2012,"white floral, tuberose, floral, citrus, animalic","tuberose, lily-of-the-valley, iris, musk, sandalwood, oakmoss, amber, orange blossom, tangerine, orchid"
Space NK,In Peace,2012,"powdery, floral, woody, balsamic, musky","iris, mimosa, suede, white musk, sandalwood, tonka bean, pimento, freesia"
Victoria s Secret,Bombshell Luxe Eau de Parfum,2016,"floral, fresh, tropical, sweet, fruity","passionfruit, peony, vanilla orchid"
Perfumer s Workshop,Unzipped Sport,1999,"citrus, floral, warm spicy, woody, musky, fresh","spicy notes, floral notes, cedar, musk, citruses"
Zenadora,L Eau de Parfum,2006,"balsamic, sweet, woody, amber, smoky, rose","tuberose, patchouli, guaiac wood, incense, french labdanum, benzoin, myrhh, elemi, rose, raspberry"
Oscar de la Renta,Soft Blossom,2014,"rose, floral, fresh, citrus, amber","rose, peony, virginia cedar, amber, grapefruit, pink pepper"
Avon,Musk Storm,2016,"warm spicy, woody, green, aromatic, fresh spicy","mint, musk, woodsy notes, spicy notes, cardamom, patchouli"
Atelier Cologne,Cl mentine California,2016,"woody, citrus, aromatic, green, fresh spicy","basil, pepper, star anise, sandalwood, cypress, haitian vetiver, mandarin orange, clementine, juniper berry"
Antonio Miro,Colonia,2003,"citrus, woody, aromatic, balsamic, patchouli","sage, black currant, sandalwood, patchouli, petitgrain, bergamot, amalfi lemon, mandarin orange"
Angel Schlesser,Esprit de Gingembre Pour Homme,2007,"fresh spicy, citrus, aromatic, woody, green","lavender, bourbon pepper, cardamom, bourbon vetiver, atlas cedar, white musk, lemon peel, ginger, grapefruit"
Le Blanc,Vetiver,0,"woody, citrus, warm spicy, aromatic, green, earthy","citruses, spicy notes, woody notes, vetiver"
Yves Rocher,Ambre Noir,2013,"aromatic, woody, amber, balsamic, earthy, patchouli","amber, patchouli, tonka bean, vetiver, cedar, lavender"
House of Matriarch,Coco Blanc,2013,"sweet, woody, vanilla, warm spicy, musky","white chocolate, vanilla, massoia, woody notes, masala chai, natural musk"
Prada,Purple Rain,2015,"woody, powdery, floral, aromatic, green","iris, vetiver, neroli"
Demeter Fragrance,Rye Bread,0,"savory, nutty",wheat
Lee Cooper Originals,RDLC for Women,2011,"floral, fresh, fruity, powdery, ozonic","lily-of-the-valley, violet, peony, patchouli, virginia cedar, red apple, melon"
Breil Milano,Breil Milano Fragrance for Woman,2007,"citrus, white floral, musky, sweet, patchouli","cyclamen, orange blossom, rose, tonka bean, amber, patchouli, musk, vanilla, orange, mandarin orange, peach"
Divine,L Homme Infini,2012,"woody, aromatic, balsamic, fresh spicy, earthy, amber","elemi, black pepper, oak, cedar, agarwood (oud), vetiver, amber, benzoin, coriander"
Boucheron,La Collection du Joaillier,2008,"woody, balsamic, earthy, amber, warm spicy","jasmine, ylang-ylang, iris, amber, benzoin, tonka bean, vetiver, oakmoss, sandalwood"
Pierre Cardin,Centaure Cuir Ambre,1996,"warm spicy, leather, balsamic, smoky, animalic","bergamot, spices, vanille, amber, leather, incense"
Mary Kay,Sparkling Honeysuckle,2008,"white floral, fruity, floral, sweet, woody","honeysuckle, mandarin orange, orris root, pear, woodsy notes, yellow freesia"
Lucy B,Australian Wild Jasmine,0,"white floral, floral, fruity, sweet, tropical, fresh spicy","jasmine, lotus, magnolia, ginger, pineapple"
Des Filles a la Vanille,Coeur Ocean,0,"warm spicy, woody, marine, aromatic, yellow floral","sea notes, sunflower, sandalwood, cedar, cloves"
Jardin de France,Lavande Exquise,2015,"sweet, floral, fresh spicy, vanilla, musky, aromatic","lavender, hawthorn, vanilla, coumarin, musk, licorice, lavender"
